Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-07-10,74.2469,74.2469,72.7431,73.077,80669.594248648
1997-07-11,72.91,72.91,72.91,72.91,5980.488868588
1997-07-14,74.0799,74.4159,74.0799,74.4159,35700.918332919
1997-07-15,74.0799,74.0799,72.7431,72.7431,10465.855520029
1997-07-16,72.91,72.91,72.91,72.91,14352.173202861
1997-07-17,73.58,73.58,73.58,73.58,11960.977737176
1997-07-18,72.7431,74.4159,72.7431,74.4159,231862.95338611
1997-07-21,75.2498,75.2498,75.0819,75.2498,27057.211762483
1997-07-22,73.58,73.58,73.58,73.58,32008.616509704
1997-07-23,73.914,75.2498,73.58,73.914,965084.8898195
1997-07-24,72.7431,74.0799,72.7431,72.7431,674935.17184493
1997-07-25,74.4159,74.4159,70.2343,70.2343,341011.87564659
1997-07-28,72.7431,72.7431,71.9061,72.0741,26578.172603946
1997-07-29,71.0702,72.4081,71.0702,72.4081,38808.172332033
1997-07-30,72.7431,72.7431,70.2343,70.2343,166839.6381256
1997-07-31,71.0702,71.0702,71.0702,71.0702,23917.95514735
1997-08-01,71.9061,71.9061,71.0702,71.0702,7019.5738074614
1997-08-04,71.0702,71.4892,71.0702,71.4892,36164.956265197
1997-08-05,71.2362,71.9061,71.2362,71.9061,12737.041175642
1997-08-06,71.0702,71.7401,69.0644,69.0644,598055.88743105
1997-08-07,70.2343,70.2343,68.8944,68.8944,26100.133527159
1997-08-08,70.2343,70.2343,70.2343,70.2343,1793.1465788258
1997-08-11,68.5604,70.2343,68.5604,68.5604,78360.405486512
1997-08-12,69.3953,70.0673,69.3953,69.8993,33786.76186227
1997-08-13,70.2343,70.2343,68.5604,69.3953,29906.444669942
1997-08-14,69.0644,69.0644,66.8885,68.5604,95954.843724818
1997-08-15,68.5604,68.5604,67.7255,67.7255,8476.6929180856
1997-08-18,67.3905,67.3905,67.3905,67.3905,24133.972805479
1997-08-19,66.8885,66.8885,66.8885,66.8885,47838.910539951
1997-08-20,67.3905,67.3905,67.3905,67.3905,739.0604136934
1997-08-21,66.0526,66.0526,66.0526,66.0526,25473.082269533
1997-08-22,65.7196,65.7196,65.7196,65.7196,29899.444097688
1997-08-26,65.5516,65.5516,65.5516,65.5516,1273746.1209977
1997-08-27,65.3847,66.3876,65.3847,65.7196,488404.92413177
1997-08-28,65.2167,66.8885,64.3807,64.3807,16573093.749606
1997-08-29,66.8885,66.8885,64.3807,64.3807,3030554.7294154
1997-09-02,65.7196,66.5536,65.2167,65.2167,1715370.2210816
1997-09-03,66.8885,66.8885,65.7196,65.7196,221259.08658449
1997-09-04,65.3847,66.0526,65.3847,65.5516,1480416.0150044
1997-09-05,67.7255,67.7255,66.5536,66.5536,34897.852687187
1997-09-08,67.3905,67.7255,66.0526,67.7255,23218.89800368
1997-09-09,67.7255,67.7255,67.5585,67.5585,23279.902990467
1997-09-10,66.3876,66.3876,66.0526,66.0526,81655.674854739
1997-09-11,66.0946,66.0946,66.0946,66.0946,47838.910539951
1997-09-12,66.8885,66.8885,65.2167,65.2167,9090531.0956229
1997-09-15,66.2196,66.2196,65.2167,66.0526,2998921.1435622
1997-09-16,66.2196,66.2196,66.2196,66.2196,32008.616509704
1997-09-17,65.2167,65.2167,65.0517,65.0517,5023219.6176494
1997-09-18,67.5585,67.5585,66.0526,66.0526,8071.6598090926
1997-09-19,66.3876,67.7255,66.0526,66.8885,84884.938827427
1997-09-22,66.8885,66.8885,66.8885,66.8885,5980.488868588
1997-09-23,67.7255,67.7255,67.7255,67.7255,4186.3422080116
1997-09-24,66.8885,66.8885,66.0526,66.0526,163552.36941137
1997-09-25,67.3905,68.5604,67.3905,67.7255,830444.88381798
1997-09-26,68.5604,68.5604,66.8885,66.8885,941432.95641781
1997-09-29,69.3953,69.3953,69.3953,69.3953,6278.5132302668
1997-09-30,67.7255,69.3953,67.7255,68.5604,254150.77527998
1997-10-01,68.8944,69.8993,68.8944,69.8993,60994.985969094
1997-10-02,69.3953,70.2343,69.2293,69.5633,7962878.9169163
