Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-07-22,165.885,167.345,160.043,161.503,4066219.0581008
1997-07-23,160.043,162.234,160.043,160.774,3774694.9645378
1997-07-24,161.503,161.503,160.043,160.043,4897438.8001114
1997-07-25,160.043,161.503,160.043,160.043,1584327.2063841
1997-07-28,161.503,162.234,160.043,162.234,969902.72326265
1997-07-29,162.234,162.234,160.043,162.234,534149.40722786
1997-07-30,161.887,162.234,160.043,162.234,308349.22662554
1997-07-31,162.234,164.407,161.503,161.887,1410018.6931016
1997-08-01,162.234,162.982,161.503,161.887,1481559.4778012
1997-08-04,162.982,163.686,161.887,161.887,2290046.2562051
1997-08-05,162.982,163.686,161.503,162.607,1277474.8697254
1997-08-06,162.234,165.145,162.234,163.686,1648886.6220488
1997-08-07,164.407,165.885,162.982,165.52,2807281.8174615
1997-08-08,167.345,171.344,167.345,170.996,6194858.3530327
1997-08-11,170.996,173.882,170.996,173.882,1181448.19926
1997-08-12,173.882,173.882,170.996,173.169,537993.25895804
1997-08-13,172.795,172.795,170.996,172.448,149350.98926749
1997-08-14,172.448,172.448,170.275,170.996,1803567.1235311
1997-08-15,169.536,171.709,169.536,169.536,1492376.8379288
1997-08-18,168.075,170.275,165.885,169.536,5617642.7589207
1997-08-19,172.074,176.785,170.996,176.063,9282505.527673
1997-08-20,178.61,180.079,177.889,179.341,7584966.0513848
1997-08-21,179.706,179.706,177.889,179.706,2370203.4225364
1997-08-22,178.61,180.81,178.61,178.752,12171790.638327
1997-08-26,178.61,179.706,175.324,175.324,5556206.2622341
1997-08-27,178.975,181.54,176.785,181.54,6285657.6995706
1997-08-28,182.626,185.529,177.159,182.119,15631196.556287
1997-08-29,176.785,178.236,173.169,174.611,12723605.14388
1997-09-01,176.063,177.506,174.611,175.324,3780825.1388279
1997-09-02,174.879,177.159,174.611,176.411,8442847.9527963
1997-09-03,176.785,178.236,176.411,177.221,12230532.059304
1997-09-04,177.506,178.61,175.324,176.063,10880153.14575
1997-09-05,176.063,176.063,173.169,173.882,4733480.5005003
1997-09-08,174.238,176.063,173.882,175.324,2121246.9268513
1997-09-09,176.063,179.706,172.929,178.236,15145874.060272
1997-09-10,178.61,181.905,178.61,179.706,9344687.6619725
1997-09-11,178.236,179.706,176.785,177.506,6269508.5813316
1997-09-12,175.324,176.785,173.882,176.785,10446825.397853
1997-09-15,176.785,178.975,176.063,177.889,7559797.4131058
1997-09-16,177.889,180.436,176.785,178.779,16771586.400067
1997-09-17,180.436,181.166,178.975,180.73,18375859.412595
1997-09-18,180.436,181.54,178.886,179.341,22397394.115438
1997-09-19,178.236,181.905,178.236,180.89,51267265.209761
1997-09-22,181.166,181.905,178.236,178.538,19657957.46011
1997-09-23,179.706,179.706,170.996,172.448,13243825.501484
1997-09-24,173.169,173.882,171.709,173.882,3116355.3456839
1997-09-25,173.169,174.238,168.298,170.996,12523459.838133
1997-09-26,173.169,173.882,171.709,173.882,6679769.8500025
1997-09-29,172.448,175.324,171.709,174.238,4761684.4677965
1997-09-30,174.504,175.324,172.448,173.882,13821306.111374
1997-10-01,174.611,174.611,172.448,173.427,7517711.5600109
1997-10-02,175.324,176.063,171.709,173.169,4772719.6798773
1997-10-03,173.882,174.611,172.448,173.169,5313434.9653016
1997-10-06,171.709,173.169,170.996,171.005,4271124.5413197
1997-10-07,170.996,172.448,170.996,170.996,3030246.5538281
1997-10-08,171.344,172.448,167.345,167.345,4550811.6377783
1997-10-09,166.624,168.075,162.234,162.982,4687766.4017319
1997-10-10,161.797,162.234,158.582,159.313,2428134.0749047
1997-10-13,159.677,160.898,158.582,160.043,1520782.9359033
1997-10-14,161.147,161.147,159.313,160.043,5328004.095406
1997-10-15,159.313,161.584,159.313,161.147,3294004.6298975
1997-10-16,160.337,162.234,160.043,161.147,3525257.847018
1997-10-17,160.774,161.503,159.677,161.147,1969024.5590054
1997-10-20,158.582,160.043,156.41,160.043,2551852.6482817
1997-10-21,159.313,160.043,157.148,160.043,857767.36069397
1997-10-22,158.957,160.399,149.161,149.82,2484394.9032815
1997-10-23,149.891,149.891,133.862,141.868,6396508.4093845
