Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1997-09-10,0.4203,0.4203,0.4203,0.4203
1997-09-11,0.4187,0.4187,0.4187,0.4187
1997-09-12,0.4159,0.4159,0.4159,0.4159
1997-09-15,0.4115,0.4115,0.4115,0.4115
1997-09-16,0.4134,0.4134,0.4134,0.4134
1997-09-17,0.4117,0.4117,0.4117,0.4117
1997-09-18,0.4112,0.4112,0.4112,0.4112
1997-09-19,0.4123,0.4123,0.4123,0.4123
1997-09-22,0.4142,0.4142,0.4142,0.4142
1997-09-23,0.414,0.414,0.414,0.414
1997-09-24,0.4112,0.4112,0.4112,0.4112
1997-09-25,0.4119,0.4119,0.4119,0.4119
1997-09-26,0.4099,0.4099,0.4099,0.4099
1997-09-29,0.4109,0.4109,0.4109,0.4109
1997-09-30,0.4114,0.4114,0.4114,0.4114
1997-10-01,0.4117,0.4117,0.4117,0.4117
1997-10-02,0.4116,0.4116,0.4116,0.4116
1997-10-03,0.4129,0.4129,0.4129,0.4129
1997-10-06,0.4112,0.4112,0.4112,0.4112
1997-10-07,0.4098,0.4098,0.4098,0.4098
1997-10-08,0.4098,0.4098,0.4098,0.4098
1997-10-09,0.4082,0.4082,0.4082,0.4082
1997-10-10,0.4079,0.4079,0.4079,0.4079
1997-10-13,0.4084,0.4084,0.4084,0.4084
1997-10-14,0.4084,0.4084,0.4084,0.4084
1997-10-15,0.4083,0.4083,0.4083,0.4083
1997-10-16,0.4079,0.4079,0.4079,0.4079
1997-10-17,0.4092,0.4092,0.4092,0.4092
1997-10-20,0.4099,0.4099,0.4099,0.4099
1997-10-21,0.4094,0.4094,0.4094,0.4094
1997-10-22,0.4105,0.4105,0.4105,0.4105
1997-10-23,0.4091,0.4091,0.4091,0.4091
1997-10-24,0.4131,0.4131,0.4131,0.4131
1997-10-27,0.4172,0.4172,0.4172,0.4172
1997-10-28,0.4234,0.4234,0.4234,0.4234
1997-10-29,0.4166,0.4166,0.4166,0.4166
1997-10-30,0.421,0.421,0.421,0.421
1997-10-31,0.4197,0.4197,0.4197,0.4197
1997-11-03,0.4143,0.4143,0.4143,0.4143
1997-11-04,0.4131,0.4131,0.4131,0.4131
1997-11-05,0.4148,0.4148,0.4148,0.4148
1997-11-06,0.4178,0.4178,0.4178,0.4178
1997-11-07,0.4223,0.4223,0.4223,0.4223
1997-11-12,0.4201,0.4201,0.4201,0.4201
1997-11-13,0.4222,0.4222,0.4222,0.4222
1997-11-14,0.4199,0.4199,0.4199,0.4199
1997-11-17,0.4224,0.4224,0.4224,0.4224
1997-11-18,0.4208,0.4208,0.4208,0.4208
1997-11-19,0.4217,0.4217,0.4217,0.4217
1997-11-20,0.4219,0.4219,0.4219,0.4219
1997-11-21,0.4241,0.4241,0.4241,0.4241
1997-11-24,0.4231,0.4231,0.4231,0.4231
1997-11-25,0.4239,0.4239,0.4239,0.4239
1997-11-26,0.4241,0.4241,0.4241,0.4241
1997-11-27,0.4254,0.4254,0.4254,0.4254
1997-11-28,0.4259,0.4259,0.4259,0.4259
1997-12-01,0.4287,0.4287,0.4287,0.4287
1997-12-02,0.4272,0.4272,0.4272,0.4272
1997-12-03,0.4264,0.4264,0.4264,0.4264
1997-12-04,0.4269,0.4269,0.4269,0.4269
1997-12-05,0.427,0.427,0.427,0.427
1997-12-08,0.428,0.428,0.428,0.428
1997-12-09,0.4283,0.4283,0.4283,0.4283
1997-12-10,0.4264,0.4264,0.4264,0.4264
1997-12-11,0.4264,0.4264,0.4264,0.4264
1997-12-12,0.4273,0.4273,0.4273,0.4273
1997-12-15,0.4274,0.4274,0.4274,0.4274
1997-12-16,0.4253,0.4253,0.4253,0.4253
1997-12-17,0.4212,0.4212,0.4212,0.4212
1997-12-18,0.4217,0.4217,0.4217,0.4217
1997-12-19,0.4214,0.4214,0.4214,0.4214
1997-12-22,0.4196,0.4196,0.4196,0.4196
1997-12-23,0.4216,0.4216,0.4216,0.4216
1997-12-24,0.4211,0.4211,0.4211,0.4211
1997-12-29,0.4188,0.4188,0.4188,0.4188
1997-12-30,0.4229,0.4229,0.4229,0.4229
1997-12-31,0.4234,0.4234,0.4234,0.4234
1998-01-02,0.4242,0.4242,0.4242,0.4242
1998-01-05,0.4245,0.4245,0.4245,0.4245
1998-01-06,0.4248,0.4248,0.4248,0.4248
1998-01-07,0.4263,0.4263,0.4263,0.4263
1998-01-08,0.4274,0.4274,0.4274,0.4274
1998-01-09,0.426,0.426,0.426,0.426
1998-01-12,0.4262,0.4262,0.4262,0.4262
1998-01-13,0.4259,0.4259,0.4259,0.4259
1998-01-14,0.4262,0.4262,0.4262,0.4262
1998-01-15,0.4265,0.4265,0.4265,0.4265
1998-01-16,0.4273,0.4273,0.4273,0.4273
1998-01-19,0.4268,0.4268,0.4268,0.4268
1998-01-20,0.4272,0.4272,0.4272,0.4272
1998-01-21,0.4264,0.4264,0.4264,0.4264
1998-01-22,0.423,0.423,0.423,0.423
1998-01-23,0.4223,0.4223,0.4223,0.4223
1998-01-26,0.4203,0.4203,0.4203,0.4203
1998-01-27,0.4214,0.4214,0.4214,0.4214
1998-01-28,0.4228,0.4228,0.4228,0.4228
1998-01-29,0.4243,0.4243,0.4243,0.4243
1998-01-30,0.4262,0.4262,0.4262,0.4262
1998-02-02,0.4286,0.4286,0.4286,0.4286
1998-02-03,0.4245,0.4245,0.4245,0.4245
1998-02-04,0.4241,0.4241,0.4241,0.4241
1998-02-05,0.4218,0.4218,0.4218,0.4218
1998-02-06,0.4243,0.4243,0.4243,0.4243
1998-02-09,0.4276,0.4276,0.4276,0.4276
1998-02-10,0.4264,0.4264,0.4264,0.4264
1998-02-11,0.4282,0.4282,0.4282,0.4282
1998-02-12,0.4268,0.4268,0.4268,0.4268
1998-02-13,0.4284,0.4284,0.4284,0.4284
1998-02-16,0.4276,0.4276,0.4276,0.4276
1998-02-17,0.4278,0.4278,0.4278,0.4278
1998-02-18,0.4289,0.4289,0.4289,0.4289
1998-02-19,0.4282,0.4282,0.4282,0.4282
1998-02-20,0.4284,0.4284,0.4284,0.4284
1998-02-23,0.4279,0.4279,0.4279,0.4279
1998-02-24,0.4254,0.4254,0.4254,0.4254
1998-02-25,0.4238,0.4238,0.4238,0.4238
1998-02-26,0.4217,0.4217,0.4217,0.4217
1998-02-27,0.4187,0.4187,0.4187,0.4187
1998-03-02,0.4183,0.4183,0.4183,0.4183
1998-03-03,0.4213,0.4213,0.4213,0.4213
1998-03-04,0.4186,0.4186,0.4186,0.4186
1998-03-05,0.4186,0.4186,0.4186,0.4186
1998-03-06,0.4207,0.4207,0.4207,0.4207
1998-03-09,0.4199,0.4199,0.4199,0.4199
1998-03-10,0.4189,0.4189,0.4189,0.4189
1998-03-11,0.4188,0.4188,0.4188,0.4188
1998-03-12,0.4165,0.4165,0.4165,0.4165
1998-03-13,0.4164,0.4164,0.4164,0.4164
1998-03-16,0.4162,0.4162,0.4162,0.4162
1998-03-17,0.414,0.414,0.414,0.414
1998-03-18,0.4159,0.4159,0.4159,0.4159
1998-03-19,0.4152,0.4152,0.4152,0.4152
1998-03-20,0.415,0.415,0.415,0.415
1998-03-23,0.414,0.414,0.414,0.414
1998-03-24,0.4143,0.4143,0.4143,0.4143
1998-03-25,0.4138,0.4138,0.4138,0.4138
1998-03-26,0.4128,0.4128,0.4128,0.4128
1998-03-27,0.4117,0.4117,0.4117,0.4117
1998-03-30,0.413,0.413,0.413,0.413
1998-03-31,0.4165,0.4165,0.4165,0.4165
1998-04-01,0.4152,0.4152,0.4152,0.4152
1998-04-02,0.4156,0.4156,0.4156,0.4156
1998-04-03,0.4183,0.4183,0.4183,0.4183
1998-04-06,0.4156,0.4156,0.4156,0.4156
1998-04-07,0.4147,0.4147,0.4147,0.4147
1998-04-08,0.4144,0.4144,0.4144,0.4144
1998-04-09,0.4129,0.4129,0.4129,0.4129
1998-04-10,0.4124,0.4124,0.4124,0.4124
1998-04-14,0.4113,0.4113,0.4113,0.4113
1998-04-15,0.4099,0.4099,0.4099,0.4099
1998-04-16,0.4098,0.4098,0.4098,0.4098
1998-04-17,0.4088,0.4088,0.4088,0.4088
1998-04-20,0.4082,0.4082,0.4082,0.4082
1998-04-21,0.4095,0.4095,0.4095,0.4095
1998-04-22,0.4093,0.4093,0.4093,0.4093
1998-04-23,0.4096,0.4096,0.4096,0.4096
1998-04-24,0.41,0.41,0.41,0.41
1998-04-27,0.4091,0.4091,0.4091,0.4091
1998-04-28,0.4101,0.4101,0.4101,0.4101
1998-04-29,0.4102,0.4102,0.4102,0.4102
1998-04-30,0.4089,0.4089,0.4089,0.4089
1998-05-04,0.4072,0.4072,0.4072,0.4072
1998-05-05,0.4047,0.4047,0.4047,0.4047
1998-05-06,0.4052,0.4052,0.4052,0.4052
1998-05-07,0.4069,0.4069,0.4069,0.4069
1998-05-08,0.406,0.406,0.406,0.406
1998-05-11,0.4068,0.4068,0.4068,0.4068
1998-05-12,0.4069,0.4069,0.4069,0.4069
1998-05-13,0.4103,0.4103,0.4103,0.4103
1998-05-14,0.4093,0.4093,0.4093,0.4093
1998-05-15,0.4099,0.4099,0.4099,0.4099
1998-05-18,0.4138,0.4138,0.4138,0.4138
1998-05-19,0.4164,0.4164,0.4164,0.4164
1998-05-20,0.4142,0.4142,0.4142,0.4142
1998-05-21,0.4131,0.4131,0.4131,0.4131
1998-05-22,0.4113,0.4113,0.4113,0.4113
1998-05-25,0.4114,0.4114,0.4114,0.4114
1998-05-26,0.4143,0.4143,0.4143,0.4143
1998-05-27,0.422,0.422,0.422,0.422
1998-05-28,0.4233,0.4233,0.4233,0.4233
1998-05-29,0.4197,0.4197,0.4197,0.4197
1998-06-01,0.4223,0.4223,0.4223,0.4223
1998-06-02,0.4209,0.4209,0.4209,0.4209
1998-06-03,0.4153,0.4153,0.4153,0.4153
1998-06-04,0.4156,0.4156,0.4156,0.4156
1998-06-05,0.4163,0.4163,0.4163,0.4163
1998-06-08,0.4143,0.4143,0.4143,0.4143
1998-06-09,0.414,0.414,0.414,0.414
1998-06-10,0.4174,0.4174,0.4174,0.4174
1998-06-12,0.4231,0.4231,0.4231,0.4231
1998-06-15,0.4239,0.4239,0.4239,0.4239
1998-06-16,0.42,0.42,0.42,0.42
1998-06-17,0.4166,0.4166,0.4166,0.4166
1998-06-18,0.4165,0.4165,0.4165,0.4165
1998-06-19,0.417,0.417,0.417,0.417
1998-06-22,0.4187,0.4187,0.4187,0.4187
1998-06-23,0.4179,0.4179,0.4179,0.4179
1998-06-24,0.4174,0.4174,0.4174,0.4174
1998-06-25,0.4179,0.4179,0.4179,0.4179
1998-06-26,0.4208,0.4208,0.4208,0.4208
1998-06-29,0.4223,0.4223,0.4223,0.4223
1998-06-30,0.4191,0.4191,0.4191,0.4191
1998-07-01,0.4196,0.4196,0.4196,0.4196
1998-07-02,0.4193,0.4193,0.4193,0.4193
