Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-07-10,461.24,467.605,458.383,466.477,7739167.6407189
1997-07-11,466.239,468.532,460.781,464.079,6800558.8137178
1997-07-14,461.68,463.046,458.507,460.313,4439485.6406737
1997-07-15,458.956,458.956,454.388,455.764,5209207.8901817
1997-07-16,456.452,460.313,454.388,457.599,4578177.6147363
1997-07-17,457.599,468.073,454.856,466.239,6592430.8662812
1997-07-18,466.688,472.632,464.872,467.911,9202187.5758518
1997-07-21,463.964,463.964,454.856,458.507,2095653.2231041
1997-07-22,456.213,458.956,454.856,456.901,3112454.95026
1997-07-23,457.599,462.597,454.856,458.383,3313371.4340363
1997-07-24,454.388,456.682,444.372,444.821,3412678.6878186
1997-07-25,445.29,447.555,443.015,443.913,2225197.9807827
1997-07-28,443.674,453.48,443.445,444.372,5418067.238242
1997-07-29,451.205,460.313,451.205,455.764,4881843.8530845
1997-07-30,459.415,462.597,454.388,457.599,4900518.1119273
1997-07-31,457.599,461.24,450.269,450.517,5030014.737376
1997-08-01,451.205,453.48,446.656,447.765,4392006.3349501
1997-08-04,448.013,448.921,444.372,446.178,2290884.8719898
1997-08-05,447.555,452.123,446.178,452.123,4733827.8290109
1997-08-06,451.999,461.24,451.999,461.24,8078687.1585678
1997-08-07,461.001,471.371,460.313,467.854,7624763.6083978
1997-08-08,469.44,488.583,469.44,487.665,8064795.7784817
1997-08-11,484.483,486.308,443.913,484.483,4802350.33637
1997-08-12,485.391,491.326,483.097,485.84,2964507.9854727
1997-08-13,484.942,484.942,474.907,477.172,4004632.9170666
1997-08-14,479.924,481.73,474.458,474.458,2543255.7558667
1997-08-15,478.099,481.73,468.532,469.192,3207328.8071286
1997-08-18,462.597,494.938,460.313,461.441,2741362.7823118
1997-08-19,463.505,464.423,451.205,456.682,4477133.4152669
1997-08-20,457.599,467.605,454.856,459.415,5332451.5111566
1997-08-21,458.507,462.139,458.048,460.313,3695699.3386044
1997-08-22,458.956,459.625,451.205,454.197,2517011.1343452
1997-08-26,456.682,457.599,452.582,455.535,1685154.3614663
1997-08-27,456.213,458.956,453.939,454.388,2599602.9017704
1997-08-28,457.599,461.24,453.48,454.627,7320548.0348171
1997-08-29,453.48,453.48,441.18,443.694,4312267.9716748
1997-09-01,443.015,444.372,441.18,441.859,4771299.8163296
1997-09-02,441.62,443.913,437.988,440.951,19999773.367962
1997-09-03,446.656,454.388,445.748,449.6,6150198.2162093
1997-09-04,446.656,450.766,444.372,448.921,6130148.0034034
1997-09-05,450.766,458.956,449.38,453.939,1791946.1769957
1997-09-08,459.883,462.597,456.213,458.507,1213512.9189342
1997-09-09,456.682,463.505,456.213,459.883,3815496.2733783
1997-09-10,463.964,468.532,462.597,468.073,5589909.7624618
1997-09-11,466.239,466.239,453.48,454.856,4881975.6935403
1997-09-12,454.856,454.856,444.821,445.92,5454002.1332629
1997-09-15,444.821,448.472,444.372,446.656,3229710.2940254
1997-09-16,442.088,443.015,435.484,442.088,8309003.0176289
1997-09-17,442.088,444.821,435.484,441.409,6883874.657297
1997-09-18,440.263,454.856,440.263,451.874,4666511.7664574
1997-09-19,453.48,458.048,452.582,455.191,6226931.4541751
1997-09-22,455.315,458.048,449.848,454.627,4130992.5767502
1997-09-23,457.599,459.185,446.656,447.794,9574357.4872084
1997-09-24,447.555,451.205,445.29,447.344,5661374.6139609
1997-09-25,448.921,449.38,445.29,446.656,5297848.6232801
1997-09-26,448.472,453.48,447.105,450.001,8180733.7640422
1997-09-29,448.013,451.205,443.015,443.913,7720429.5543539
1997-09-30,447.105,453.012,445.29,451.435,6462867.2742518
1997-10-01,452.123,460.313,451.205,459.625,8019532.6480384
1997-10-02,464.872,468.073,453.48,460.17,6010502.7897889
1997-10-03,457.131,462.139,454.388,456.213,5553134.6461236
1997-10-06,455.764,455.764,448.921,450.078,5194242.9520985
1997-10-07,452.123,452.123,447.105,448.921,5575099.6845966
1997-10-08,449.848,451.664,443.445,447.555,4485385.9999866
1997-10-09,445.748,446.178,439.823,442.432,5814280.2447792
1997-10-10,443.913,446.656,442.088,444.152,6794091.3069152
1997-10-13,444.821,454.388,443.015,452.362,6239501.290645
1997-10-14,452.582,453.48,445.29,448.701,5443651.6111318
1997-10-15,447.449,447.555,443.445,446.656,6293567.3873933
1997-10-16,446.073,450.269,442.881,447.344,6202028.2569735
1997-10-17,446.656,448.921,440.492,444.372,4687836.4370024
1997-10-20,439.823,443.445,428.421,437.988,5200386.0895259
1997-10-21,437.558,439.823,435.704,436.631,2530506.993064
1997-10-22,436.631,438.915,412.93,423.853,8236817.2290344
1997-10-23,410.187,410.187,388.769,392.86,22758796.49323
1997-10-24,410.187,410.187,387.393,390.585,3583097.1258455
1997-10-27,387.393,387.393,362.335,367.801,15649127.267423
1997-10-28,365.966,368.48,303.081,337.267,20282593.119005
1997-10-29,369.178,369.178,312.199,366.874,13520050.396074
1997-10-30,366.263,373.717,341.816,359.601,10557893.565396
1997-10-31,358.913,359.831,328.837,350.025,6886834.7894349
1997-11-03,357.767,362.335,355.492,358.034,4785459.0627386
1997-11-04,357.767,359.601,355.96,358.005,3684288.861063
