,Data,GLBL ENERGIA price,GLBL DOBRA LUKSUSOWE price,GLBL FINANSE price,GLBL PRZEMYSŁ price,GLBL SUROWCE price,GLBL DOBRA PODSTAWOWE price,GLBL TECHNOLOGIA price,GLBL UŻYTECZNOŚCI PUBLICZNEJ price,GLBL TELEKOMUNIKACJA price_x,US FINANSE price,US TECHNOLOGIA price,US SUROWCE price,GLBL TELEKOMUNIKACJA price_y,US ENERGIA price,US DOBRA PODSTAWOWE price,US UŻYTECZNOŚCI PUBLICZNEJ price,US DOBRA LUKSUSOWE price,US PRZEMYSŁ price,US OPIEKA ZDROWOTNA price,AUD/PLN price,CNY/PLN price,HKD/PLN price,IDR/PLN price,ILS/PLN price,INR/PLN price,JPY/PLN price,KRW/PLN price,MYR/PLN price,NZD/PLN price,PHP/PLN price,SGD/PLN price,THB/PLN price,TWD/PLN price,BGN/PLN price,CHF/PLN price,CZK/PLN price,DKK/PLN price,EUR/PLN price,GBP/PLN price,HUF/PLN price,ISK/PLN price,NOK/PLN price,RON/PLN price,RUB/PLN price,SEK/PLN price,TRY/PLN price,UAH/PLN price,ARS/PLN price,BRL/PLN price,CAD/PLN price,CLP/PLN price,MXN/PLN price,USD/PLN price,EGP/PLN price,NAD/PLN price,ZAR/PLN price,XAG/PLN price,XAU/PLN price,XPD/PLN price,XPT/PLN price,BTC/PLN price,XDR/PLN price,ASSECOPOL price,ALLEGRO price,ALIOR price,CDPROJEKT price,CYFRPLSAT price,DINOPL price,JSW price,KGHM price,KRUK price,KETY price,LPP price,MBANK price,ORANGEPL price,PEPCO price,PEKAO price,PGE price,PKNORLEN price,PKOBP price,PZU price,SANPL price,AUSTRALIA 10Y BOND YIELD price,CHINA 10Y BOND YIELD price,INDONESIA 10Y BOND YIELD price,INDIA 10Y BOND YIELD price,JAPAN 10Y BOND YIELD price,S.KOREA 10Y BOND YIELD price,MALAYSIA 10Y BOND YIELD price,NEW ZEALAND 10Y BOND YIELD price,SINGAPORE 10Y BOND YIELD price,AUSTRIA 10Y BOND YIELD price,BELGIUM 10Y BOND YIELD price,SWITZERLAND 10Y BOND YIELD price,CZECH 10Y BOND YIELD price,GERMANY 10Y BOND YIELD price,SPAIN 10Y BOND YIELD price,FINLAND 10Y BOND YIELD price,FRANCE 10Y BOND YIELD price,GREECE 10Y BOND YIELD price,Date_index
0,2016-03-29,26.3,23.655,13.24,26.05,26.055,30.01,16.4025,20.16,11.975,4.5635,4.965,18.7125,0.0,16.8238,22.1938,23.5438,20.48,273.845,289.735,2.87158,0.58294,0.48503,0.00028392,0.99318,0.057126,0.0333762,0.0032623,0.94942,2.58377,0.08182,2.7788,0.1065,0.116462,2.1748,3.89313,0.15698,0.57001,4.24754,5.41192,0.0135491,0.0302584,0.44854,0.9531,0.05518,0.45864,1.32569,0.1436,0.25429,1.0326,2.88042,0.0055564,0.21707,3.76166,0.42733,0.24806,0.24809,57.7094,4672.62,2172.12,3643.7,1560.21,5.324,38.4197,0.0,52.867,23.8788,20.5551,0.0,11.833,69.5301,152.713,173.069,4870.95,339.13,5.90929,0.0,107.966,13.688,51.3176,23.4188,21.678,257.647,2.589,2.919,7.833,7.514,-0.083,1.805,3.863,0.0,1.944,0.3631,0.3944,-0.332,0.454,0.153,1.45,0.47,0.415,8.813,735959.0
1,2016-03-30,27.07,24.0675,13.5225,26.385,26.735,30.56,16.695,20.52,12.19,4.645,5.05125,19.0388,0.0,17.185,22.4975,23.8675,20.7288,277.47,293.735,2.8907,0.57866,0.48608,0.0002826,0.99236,0.0565095,0.0335131,0.003262,0.95093,2.60572,0.08139,2.79193,0.107,0.11618,2.1702,3.90604,0.15792,0.57336,4.27133,5.41894,0.0135715,0.0303828,0.45392,0.95283,0.05574,0.46308,1.32907,0.1428,0.25863,1.04073,2.907,0.0055811,0.21864,3.76855,0.42319,0.25278,0.25274,57.3019,4613.41,2125.03,3625.8,1556.16,5.3039,38.9018,0.0,53.422,24.3472,20.5954,0.0,12.59,70.6433,151.694,173.011,4932.75,340.9,5.96146,0.0,112.187,13.785,53.2234,24.3525,22.2917,262.081,2.515,2.904,7.781,7.493,-0.088,1.774,3.818,0.0,1.847,0.3767,0.3936,-0.332,0.439,0.166,1.441,0.47,0.4223,8.809,735960.0
2,2016-03-31,27.07,24.04,13.4975,26.245,26.63,30.44,16.695,20.4775,12.105,4.637,5.0525,18.96,0.0,17.2313,22.4938,23.8925,20.7888,276.84,292.915,2.85763,0.58053,0.48065,0.00028344,0.992,0.0566786,0.0331267,0.003305,0.96004,2.57823,0.08169,2.7659,0.10625,0.116746,2.1824,3.87654,0.15684,0.56962,4.243,5.35577,0.0135227,0.0302573,0.45114,0.94901,0.05573,0.45932,1.32264,0.1436,0.25562,1.04669,2.87119,0.0055809,0.21595,3.72815,0.42203,0.2535,0.25337,57.5517,4595.75,2101.53,3636.86,1551.26,5.3019,39.9622,0.0,52.973,24.0654,20.2378,0.0,13.054,70.5508,149.202,173.553,4844.53,335.96,5.85712,0.0,110.309,13.668,53.3096,24.7268,22.3039,265.794,2.491,2.886,7.713,7.463,-0.039,1.787,3.794,0.0,1.839,0.377,0.386,-0.334,0.444,0.159,1.451,0.453,0.4262,8.702,735961.0
3,2016-04-01,26.405,23.805,13.3525,25.93,26.215,30.26,16.6525,20.27,11.975,4.6355,5.05625,18.77,0.0,16.8988,22.545,23.8163,20.7663,275.17,294.245,2.86897,0.57418,0.48174,0.0002826,0.98792,0.0,0.0334559,0.0032293,0.95618,2.57693,0.08083,2.76764,0.10621,0.115329,2.1672,3.89625,0.15741,0.57146,4.25498,5.31478,0.0135803,0.0303649,0.44953,0.94977,0.05502,0.4591,1.32168,0.1429,0.25436,1.04813,2.87072,0.0055775,0.21515,3.73549,0.41841,0.25327,0.25376,56.2938,4571.31,2109.84,3578.82,1554.45,5.2451,39.7326,0.0,55.893,23.7383,20.1947,0.0,12.666,69.5215,147.558,173.011,4773.18,336.01,5.81369,0.0,108.495,13.541,52.3061,24.3889,22.1665,259.834,2.543,2.889,7.582,0.0,-0.059,1.79,3.771,0.0,1.85,0.3426,0.3663,-0.343,0.458,0.147,1.437,0.408,0.3897,8.666,735961.0
4,2016-04-04,26.53,23.6875,13.3575,25.945,26.35,30.365,16.6725,20.3625,11.97,4.6415,5.05625,18.9313,0.0,16.9875,22.555,23.9325,20.645,275.245,299.195,2.83132,0.0,0.48011,0.00028293,0.98459,0.0563136,0.0334454,0.0032581,0.95652,2.54298,0.08083,2.75473,0.10568,0.0,2.1656,3.8828,0.1569,0.56993,4.24087,5.31169,0.0135706,0.0302931,0.44701,0.94798,0.05458,0.45793,1.32362,0.1438,0.25207,1.03792,2.84635,0.0055563,0.2131,3.72303,0.41948,0.25215,0.25224,55.596,4527.95,2052.61,3504.68,1560.3,5.2208,39.4682,0.0,59.652,24.525,19.7286,0.0,12.751,67.8988,150.039,173.311,4850.97,345.84,5.7355,0.0,108.908,13.531,53.1286,24.4159,22.4931,264.843,2.479,0.0,7.596,7.414,-0.077,1.768,3.788,0.0,1.849,0.3452,0.3789,-0.36,0.44,0.14,1.476,0.404,0.3931,9.014,735964.0
5,2016-04-05,26.045,23.4125,13.13,25.6,25.915,30.245,16.54,20.055,11.8475,4.5895,5.025,18.7725,0.0,16.7413,22.525,23.5525,20.5188,273.055,296.55,2.82564,0.57662,0.48302,0.00028246,0.98145,0.0562119,0.0339532,0.0032266,0.95066,2.54965,0.08088,2.76405,0.10619,0.115421,2.1705,3.91891,0.15779,0.57316,4.26483,5.30471,0.0136252,0.0304243,0.4497,0.95331,0.05414,0.46084,1.3223,0.1431,0.25552,1.01837,2.85192,0.0055527,0.21149,3.7464,0.42057,0.24794,0.24828,56.76,4616.23,2046.96,3566.36,1579.16,5.2487,39.0199,0.0,58.225,24.2068,19.2194,0.0,12.496,65.0436,147.558,166.335,4784.55,344.26,5.53566,0.0,105.819,13.091,52.1251,23.5268,21.9152,255.964,2.439,2.891,7.634,7.462,-0.063,1.789,3.805,0.0,1.854,0.3074,0.3562,-0.361,0.463,0.1,1.5,0.366,0.357,9.165,735965.0
6,2016-04-06,26.33,23.545,13.17,25.635,25.955,30.355,16.5675,20.0275,11.89,4.5875,5.02875,18.7188,0.0,16.9313,22.5688,23.3925,20.5913,272.25,301.065,2.84784,0.57824,0.48311,0.00028374,0.98392,0.0563111,0.0341426,0.0032437,0.9605,2.55575,0.08114,2.78185,0.10635,0.115692,2.177,3.91982,0.15789,0.57391,4.27014,5.29108,0.0136793,0.0303043,0.4506,0.95631,0.05504,0.45977,1.31815,0.1446,0.25505,1.02035,2.86109,0.0055476,0.21213,3.74688,0.42345,0.24871,0.24876,56.4153,4577.35,2027.99,3538.22,1580.9,5.2733,39.9037,0.0,56.757,24.0556,19.6612,0.0,12.07,64.6632,144.162,165.093,4844.53,342.98,5.47476,0.0,103.475,12.896,50.9994,23.4458,21.9914,257.914,2.447,2.91,7.601,7.462,-0.058,1.787,3.809,0.0,1.867,0.3257,0.3797,-0.359,0.472,0.115,1.519,0.398,0.4598,9.196,735966.0
7,2016-04-07,26.235,23.4225,13.0175,25.575,25.83,30.24,16.48,20.065,11.8325,4.5385,4.996,18.6513,0.0,16.9163,22.4613,23.5113,20.4963,271.855,300.56,2.83757,0.57768,0.48719,0.00028429,0.99496,0.0562502,0.0349192,0.003248,0.95828,2.56218,0.08114,2.79559,0.10743,0.115534,2.1781,3.95376,0.15903,0.57772,4.29951,5.31286,0.0137608,0.0305653,0.45399,0.9621,0.05533,0.46315,1.31993,0.145,0.26031,1.02114,2.87444,0.0055263,0.21127,3.78047,0.42327,0.2479,0.24785,57.5234,4685.79,2026.34,3617.43,1594.13,5.2836,38.9805,0.0,56.423,24.2156,19.3616,0.0,12.079,62.8557,147.144,166.827,4760.81,331.52,5.49215,0.0,102.002,13.032,50.496,23.3657,22.1796,253.41,2.461,2.914,7.595,7.449,-0.053,1.799,3.818,0.0,1.877,0.3096,0.4958,-0.369,0.423,0.094,1.602,0.379,0.4426,9.191,735967.0
8,2016-04-08,27.055,23.5225,13.1825,26.005,26.35,30.44,16.545,20.2625,11.975,4.5565,5.00275,18.93,0.0,17.365,22.5238,23.6475,20.4638,274.125,299.19,2.84533,0.58147,0.48562,0.00028686,0.99547,0.0,0.0348295,0.0032749,0.96381,2.5648,0.08166,2.79463,0.10737,0.116208,2.195,3.95022,0.15895,0.57734,4.29485,5.32124,0.0137453,0.0305176,0.45807,0.95954,0.05614,0.46198,1.32274,0.1471,0.26028,1.03848,2.89767,0.005517,0.21182,3.76744,0.42582,0.25135,0.25173,57.8867,4670.87,2032.53,3644.81,1576.2,5.3229,39.9696,0.0,57.083,24.3472,19.5704,0.0,11.984,62.0207,154.185,176.261,4808.38,332.01,5.46611,0.0,102.433,13.003,51.1145,23.9178,22.2103,257.538,2.415,2.935,7.577,0.0,-0.078,1.798,3.824,0.0,1.894,0.319,0.4926,-0.355,0.428,0.102,1.535,0.383,0.4446,9.143,735968.0
9,2016-04-11,27.165,23.585,13.2275,26.015,26.64,30.48,16.5825,20.265,12.0,4.5525,5.01875,18.97,0.0,17.3513,22.5513,23.5325,20.5063,273.39,298.16,2.84762,0.58016,0.48358,0.00028633,0.99647,0.0566102,0.0347296,0.003287,0.96631,2.56971,0.08161,2.79161,0.10707,0.116258,2.1896,3.9272,0.15824,0.57475,4.27656,5.33726,0.0137241,0.0304552,0.45741,0.95808,0.0561,0.46197,1.32368,0.1468,0.25842,1.06403,2.90631,0.0054983,0.21225,3.74969,0.42316,0.25473,0.25486,59.6879,4716.92,2052.26,3711.94,1583.02,5.3079,39.6731,0.0,57.083,24.2441,19.3953,0.0,12.25,63.6433,149.626,173.553,4862.13,329.94,5.51828,0.0,101.733,13.013,51.3105,23.3927,22.0089,254.42,2.424,2.916,7.535,7.418,-0.082,1.794,3.783,0.0,1.88,0.3509,0.5222,-0.361,0.472,0.121,1.528,0.421,0.4815,9.049,735971.0
