,Data,AUSTRALIA CPI R price,CHINY CPI R price,JAPONIA CPI R price,KOREA POŁUDNIOWA CPI R price,MALEZJA CPI R price,NOWA ZELANDIA CPI R price,FILIPINY CPI R price,AUSTRIA CPI R price,SZWAJCARIA CPI R price,CZECHY CPI R price,NIEMCY CPI R price,HISZPANIA CPI R price,STREFA EURO CPI R price,FRANCJA CPI R price,GRECJA CPI R price,WĘGRY CPI R price,IRLANDIA CPI R price,WŁOCHY CPI R price,NORWEGIA CPI R price,POLSKA CPI R price,PORTUGALIA CPI R price,RUMUNIA CPI R price,SZWECJA CPI R price,SŁOWACJA CPI R price,TURCJA CPI R price,WIELKA BRYTANIA CPI R price,BRAZYLIA CPI R price,KANADA CPI R price,MEKSYK CPI R price,USA CPI R price,Date_index
0,2010-06-30,3.1,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.9,0.0,1.4,1.5,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,8.37,3.2,0.0,1.0,0.0,1.05,733860.0
1,2010-09-30,2.8,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.3,0.0,1.8,1.6,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,9.24,3.1,0.0,1.9,0.0,1.14,733950.0
2,2010-12-31,2.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.7,0.0,2.2,1.8,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,6.4,3.7,0.0,2.4,0.0,1.5,734041.0
3,2011-03-31,3.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1,0.0,2.7,2.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,3.99,4.0,0.0,3.3,0.0,2.7,734136.0
4,2011-06-30,3.6,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.4,0.0,2.7,2.1,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,6.24,4.2,0.0,3.1,0.0,3.6,734225.0
5,2011-09-30,3.5,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.6,0.0,3.0,2.2,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,6.15,5.2,0.0,3.2,0.0,3.9,734315.0
6,2011-12-30,3.1,4.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0,2.1,0.0,2.7,2.5,0.0,0.0,0.0,3.3,0.0,4.6,0.0,0.0,0.0,0.0,10.45,4.2,0.0,2.3,0.0,3.0,734405.0
7,2012-03-30,1.6,3.6,0.0,0.0,0.0,0.0,0.0,2.4,-1.0,0.0,2.1,0.0,2.7,2.3,0.0,0.0,0.0,3.3,0.0,3.9,0.0,0.0,0.0,0.0,10.43,3.5,0.0,1.9,0.0,2.7,734500.0
8,2012-06-29,1.2,2.2,0.0,0.0,0.0,0.0,0.0,2.2,-1.1,0.0,1.7,0.0,2.4,1.9,0.0,0.0,0.0,3.0,0.0,4.3,0.0,0.0,0.0,0.0,8.87,2.4,0.0,1.5,0.0,1.7,734589.0
9,2012-09-28,2.0,1.9,0.0,0.0,0.0,0.0,0.0,2.7,-0.4,0.0,2.0,0.0,2.6,1.9,0.0,0.0,0.0,3.2,0.0,3.8,0.0,0.0,0.0,0.0,9.19,2.2,0.0,1.2,0.0,2.0,734678.0
10,2012-12-31,2.2,2.5,0.0,0.0,0.0,0.0,0.0,2.8,-0.4,0.0,2.0,0.0,2.2,1.3,0.0,0.0,0.0,2.3,0.0,2.4,0.0,0.0,0.0,0.0,6.16,2.7,0.0,0.8,0.0,1.7,734771.0
11,2013-03-29,2.5,2.1,0.0,0.0,0.0,0.0,0.0,2.3,-0.6,0.0,1.4,0.0,1.7,1.0,0.0,0.0,0.0,1.6,0.0,1.0,0.0,0.0,0.0,0.0,7.29,2.8,0.0,1.0,0.0,1.5,734864.0
12,2013-06-28,2.4,2.7,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,1.8,0.0,1.6,0.9,0.0,0.0,0.0,1.2,0.0,0.2,0.0,0.0,0.0,0.0,8.3,2.9,0.0,1.2,0.0,1.8,734953.0
13,2013-09-30,2.2,3.1,0.0,0.0,0.0,0.0,0.0,1.7,-0.1,0.0,1.4,0.0,1.1,0.9,0.0,0.0,0.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,7.88,2.7,0.0,1.1,0.0,1.2,735045.0
14,2013-12-31,2.7,2.5,0.0,0.0,0.0,0.0,0.0,1.9,0.1,0.0,1.4,0.0,0.8,0.7,0.0,0.0,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0.0,7.4,2.0,0.0,1.2,0.0,1.5,735136.0
15,2014-03-31,2.9,2.4,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,1.3,0.0,0.5,0.6,0.0,0.0,0.0,0.4,0.0,0.7,0.0,0.0,0.0,0.0,8.39,1.6,0.0,1.6,0.0,1.5,735231.0
16,2014-06-30,3.0,2.3,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,9.16,1.9,0.0,2.4,0.0,2.1,735320.0
17,2014-09-30,2.3,1.6,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.8,0.0,0.3,0.3,0.0,0.0,0.0,-0.2,0.0,-0.3,0.0,0.0,0.0,0.0,8.86,1.2,0.0,2.0,0.0,1.7,735410.0
18,2014-12-31,1.7,1.5,0.0,0.0,0.0,0.0,0.0,1.0,-0.3,0.0,0.2,0.0,-0.2,0.1,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,8.17,0.5,0.0,1.5,0.0,0.8,735501.0
19,2015-03-31,1.3,1.4,0.0,0.0,0.0,0.0,0.0,1.0,-0.9,0.0,0.3,0.0,0.0,-0.1,0.0,0.0,0.0,-0.1,0.0,-1.5,0.0,0.0,0.0,0.0,7.61,0.0,0.0,1.2,0.0,-0.1,735596.0
20,2015-06-30,1.5,1.4,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.3,0.0,0.2,0.3,0.0,0.0,0.0,0.2,0.0,-0.8,0.0,0.0,0.0,0.0,7.2,0.0,0.0,1.0,0.0,0.1,735685.0
21,2015-09-30,1.5,1.6,0.0,0.0,0.0,0.0,0.0,0.7,-1.4,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.2,0.0,-0.8,0.0,0.0,0.0,0.0,7.95,-0.1,0.0,1.0,0.0,0.0,735775.0
22,2015-12-31,1.7,1.6,0.0,0.0,0.0,0.0,0.0,1.0,-1.3,0.0,0.3,0.0,0.2,0.2,0.0,0.0,0.0,0.1,2.3,-0.5,0.0,0.0,0.0,0.0,8.81,0.2,0.0,1.6,0.0,0.7,735866.0
23,2016-03-31,1.3,2.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.9,0.0,0.3,0.0,0.0,-0.1,0.0,0.0,0.0,-0.2,3.3,-0.9,0.0,0.0,0.0,0.0,7.46,0.5,0.0,1.3,0.0,0.9,735961.0
24,2016-06-30,1.0,1.9,0.0,0.0,0.0,0.0,0.0,0.6,-0.4,0.0,0.3,0.0,0.1,0.2,0.0,0.0,0.0,-0.4,3.7,-0.8,0.0,0.0,0.0,0.0,7.64,0.5,0.0,1.5,0.0,1.0,736050.0
25,2016-09-30,1.3,1.9,0.0,0.0,0.0,0.0,0.0,0.9,-0.2,0.0,0.7,0.0,0.4,0.4,0.0,0.0,0.0,0.1,3.6,-0.5,0.0,0.0,0.0,0.0,7.28,1.0,0.0,1.3,0.0,1.5,736140.0
26,2016-12-30,1.5,2.1,0.3,0.0,0.0,0.0,0.0,1.4,0.0,0.0,1.7,0.0,1.1,0.6,0.0,0.0,0.0,0.5,3.5,0.8,0.0,0.0,0.0,0.0,8.53,1.6,0.0,1.5,0.0,2.1,736230.0
27,2017-03-31,2.1,0.9,0.0,0.0,0.0,0.0,0.0,1.9,0.6,0.0,1.6,0.0,1.5,1.2,0.0,0.0,0.0,1.4,2.4,2.0,0.0,0.0,0.0,0.0,11.29,2.3,0.0,1.6,0.0,1.9,736326.0
28,2017-06-30,1.9,1.5,0.4,0.0,0.0,0.0,0.0,1.9,0.2,0.0,1.6,0.0,1.3,0.7,0.0,0.0,0.0,1.2,0.0,1.5,0.0,0.0,0.0,0.0,10.9,2.6,0.0,1.0,0.0,1.6,736415.0
29,2017-09-29,1.8,1.6,0.7,0.0,0.0,0.0,0.0,2.4,0.7,0.0,1.8,0.0,1.5,1.0,0.0,0.0,0.0,1.1,1.6,2.2,0.0,0.0,0.0,0.0,11.2,3.0,0.0,1.6,0.0,2.2,736504.0
30,2017-12-29,1.9,1.8,1.4,0.0,0.0,0.0,0.0,2.2,0.8,0.0,1.7,0.0,1.3,1.4,0.0,0.0,0.0,0.9,1.6,2.1,0.0,0.0,0.0,0.0,11.92,0.0,0.0,1.7,0.0,2.1,736594.0
31,2018-03-30,1.9,2.1,1.1,1.4,1.3,1.1,4.3,1.9,0.8,1.7,1.6,1.2,1.3,1.6,0.0,2.0,0.2,0.8,2.2,1.3,0.7,4.01,2.0,2.4,10.23,2.5,2.68,2.3,5.04,2.4,736690.0
32,2018-06-29,2.1,1.9,0.7,1.5,0.8,1.5,5.2,2.0,1.1,2.6,2.1,2.2,2.0,2.0,1.0,3.1,0.4,1.3,2.6,2.0,1.5,5.4,2.1,2.8,15.39,2.4,4.39,2.5,4.65,2.9,736779.0
33,2018-09-28,1.9,2.5,1.2,1.9,0.3,1.9,6.7,2.0,1.0,2.3,2.3,2.3,2.1,2.2,1.1,3.6,0.9,1.4,3.4,1.9,1.4,5.0,2.3,2.7,24.52,2.4,4.53,2.2,4.81,2.3,736868.0
34,2018-12-31,1.8,1.9,0.3,1.3,0.4,1.9,4.4,1.9,0.7,2.0,1.7,1.2,1.5,1.6,0.6,2.7,0.7,0.9,3.5,1.1,0.7,3.3,2.0,1.9,20.3,2.1,3.75,2.0,4.83,1.9,736961.0
35,2019-03-29,1.3,2.3,0.5,0.5,0.2,1.5,3.5,1.8,0.7,3.0,1.3,1.3,1.4,1.1,0.9,3.7,1.1,1.0,0.0,1.7,0.8,4.0,1.9,2.7,19.71,2.1,4.58,1.9,4.0,1.9,737054.0
36,2019-06-28,1.6,2.7,0.7,0.7,1.5,1.7,2.7,1.6,0.6,2.7,1.6,0.4,1.3,1.2,0.0,3.4,1.1,0.7,1.9,2.6,0.4,3.8,1.8,2.6,15.72,2.1,3.37,2.0,3.95,1.6,737143.0
37,2019-09-30,1.7,3.0,0.2,-0.4,1.1,1.9,0.9,1.2,0.0,2.7,1.1,0.1,0.8,0.9,-0.1,2.8,0.7,0.3,1.5,2.6,0.0,3.5,1.5,2.9,9.26,1.7,2.89,1.9,3.0,1.7,737235.0
38,2019-12-31,1.8,4.5,0.8,0.7,1.0,0.0,2.5,1.7,0.2,3.2,1.5,0.8,1.4,1.5,0.8,4.0,1.3,0.6,1.4,3.4,0.4,4.0,1.8,3.0,11.84,1.3,4.31,2.2,2.83,2.3,737326.0
39,2020-03-31,2.2,4.3,0.4,1.0,-0.2,2.5,2.5,1.6,-0.5,3.4,1.4,0.0,0.7,0.7,0.0,3.9,0.7,-0.2,0.7,4.6,0.0,3.0,0.6,2.3,11.86,1.5,3.3,0.9,3.25,1.5,737421.0
40,2020-06-30,-0.3,2.5,0.1,0.0,-1.9,1.5,2.5,1.1,-1.3,3.3,0.9,-0.3,0.4,0.2,-1.6,2.9,-0.4,-0.5,1.4,3.3,0.1,2.6,0.7,1.8,12.62,0.6,2.13,0.7,3.62,0.6,737510.0
