Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-06-30,3.1,3.1,3.1,3.1
2010-09-30,2.8,2.8,2.8,2.8
2010-12-31,2.7,2.7,2.7,2.7
2011-03-31,3,3,3,3
2011-06-30,3.6,3.6,3.6,3.6
2011-09-30,3.5,3.5,3.5,3.5
2011-12-30,3.1,3.1,3.1,3.1
2012-03-30,1.6,1.6,1.6,1.6
2012-06-29,1.2,1.2,1.2,1.2
2012-09-28,2,2,2,2
2012-12-31,2.2,2.2,2.2,2.2
2013-03-29,2.5,2.5,2.5,2.5
2013-06-28,2.4,2.4,2.4,2.4
2013-09-30,2.2,2.2,2.2,2.2
2013-12-31,2.7,2.7,2.7,2.7
2014-03-31,2.9,2.9,2.9,2.9
2014-06-30,3,3,3,3
2014-09-30,2.3,2.3,2.3,2.3
2014-12-31,1.7,1.7,1.7,1.7
2015-03-31,1.3,1.3,1.3,1.3
2015-06-30,1.5,1.5,1.5,1.5
2015-09-30,1.5,1.5,1.5,1.5
2015-12-31,1.7,1.7,1.7,1.7
2016-03-31,1.3,1.3,1.3,1.3
2016-06-30,1,1,1,1
2016-09-30,1.3,1.3,1.3,1.3
2016-12-30,1.5,1.5,1.5,1.5
2017-03-31,2.1,2.1,2.1,2.1
2017-06-30,1.9,1.9,1.9,1.9
2017-09-29,1.8,1.8,1.8,1.8
2017-12-29,1.9,1.9,1.9,1.9
2018-03-30,1.9,1.9,1.9,1.9
2018-06-29,2.1,2.1,2.1,2.1
2018-09-28,1.9,1.9,1.9,1.9
2018-12-31,1.8,1.8,1.8,1.8
2019-03-29,1.3,1.3,1.3,1.3
2019-06-28,1.6,1.6,1.6,1.6
2019-09-30,1.7,1.7,1.7,1.7
2019-12-31,1.8,1.8,1.8,1.8
2020-03-31,2.2,2.2,2.2,2.2
2020-06-30,-0.3,-0.3,-0.3,-0.3
2020-09-30,0.7,0.7,0.7,0.7
2020-12-31,0.9,0.9,0.9,0.9
2021-03-31,1.1,1.1,1.1,1.1
2021-06-30,3.8,3.8,3.8,3.8
2021-09-30,3,3,3,3
2021-12-31,3.5,3.5,3.5,3.5
2022-03-31,5.1,5.1,5.1,5.1
2022-06-30,6.1,6.1,6.1,6.1
2022-09-30,7.3,7.3,7.3,7.3
2022-12-30,7.8,7.8,7.8,7.8
2023-02-28,7.8,7.8,7.8,7.8
2023-03-31,7,7,7,7
2023-06-30,6,6,6,6
