Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-02-28,2.84,2.84,2.84,2.84
2018-03-30,2.68,2.68,2.68,2.68
2018-04-30,2.76,2.76,2.76,2.76
2018-05-31,2.86,2.86,2.86,2.86
2018-06-29,4.39,4.39,4.39,4.39
2018-07-31,4.48,4.48,4.48,4.48
2018-08-31,4.19,4.19,4.19,4.19
2018-09-28,4.53,4.53,4.53,4.53
2018-10-31,4.56,4.56,4.56,4.56
2018-11-30,4.05,4.05,4.05,4.05
2018-12-31,3.75,3.75,3.75,3.75
2019-01-31,3.78,3.78,3.78,3.78
2019-02-28,3.89,3.89,3.89,3.89
2019-03-29,4.58,4.58,4.58,4.58
2019-04-30,4.94,4.94,4.94,4.94
2019-05-31,4.66,4.66,4.66,4.66
2019-06-28,3.37,3.37,3.37,3.37
2019-07-31,3.22,3.22,3.22,3.22
2019-08-30,3.43,3.43,3.43,3.43
2019-09-30,2.89,2.89,2.89,2.89
2019-10-31,2.54,2.54,2.54,2.54
2019-11-29,3.27,3.27,3.27,3.27
2019-12-31,4.31,4.31,4.31,4.31
2020-01-31,4.19,4.19,4.19,4.19
2020-02-28,4.01,4.01,4.01,4.01
2020-03-31,3.3,3.3,3.3,3.3
2020-04-30,2.4,2.4,2.4,2.4
2020-05-29,1.88,1.88,1.88,1.88
2020-06-30,2.13,2.13,2.13,2.13
2020-07-31,2.31,2.31,2.31,2.31
2020-08-31,2.44,2.44,2.44,2.44
2020-09-30,3.14,3.14,3.14,3.14
2020-10-30,3.92,3.92,3.92,3.92
2020-11-30,4.31,4.31,4.31,4.31
2020-12-31,4.52,4.52,4.52,4.52
2021-01-29,4.56,4.56,4.56,4.56
2021-02-26,5.2,5.2,5.2,5.2
2021-03-31,6.1,6.1,6.1,6.1
2021-04-30,6.76,6.76,6.76,6.76
2021-05-31,8.06,8.06,8.06,8.06
2021-06-30,8.35,8.35,8.35,8.35
2021-07-30,8.99,8.99,8.99,8.99
2021-08-31,9.68,9.68,9.68,9.68
2021-09-30,10.25,10.25,10.25,10.25
2021-10-29,10.67,10.67,10.67,10.67
2021-11-30,10.74,10.74,10.74,10.74
2021-12-31,10.06,10.06,10.06,10.06
2022-01-31,10.38,10.38,10.38,10.38
2022-02-28,10.54,10.54,10.54,10.54
2022-03-31,11.3,11.3,11.3,11.3
2022-04-29,12.13,12.13,12.13,12.13
2022-05-31,11.73,11.73,11.73,11.73
2022-06-30,11.89,11.89,11.89,11.89
2022-07-29,10.07,10.07,10.07,10.07
2022-08-31,8.73,8.73,8.73,8.73
2022-09-30,7.17,7.17,7.17,7.17
2022-10-31,6.47,6.47,6.47,6.47
2022-11-30,5.9,5.9,5.9,5.9
2022-12-30,5.79,5.79,5.79,5.79
2023-01-31,5.6,5.6,5.6,5.6
2023-03-31,4.65,4.65,4.65,4.65
2023-04-28,4.18,4.18,4.18,4.18
2023-05-31,3.94,3.94,3.94,3.94
2023-06-30,3.16,3.16,3.16,3.16
2023-07-31,3.99,3.99,3.99,3.99
2023-08-31,4.61,4.61,4.61,4.61
