Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-02-28,1.8,1.8,1.8,1.8
2018-03-30,1.7,1.7,1.7,1.7
2018-04-30,1.9,1.9,1.9,1.9
2018-05-31,2.2,2.2,2.2,2.2
2018-06-29,2.6,2.6,2.6,2.6
2018-07-31,2.3,2.3,2.3,2.3
2018-08-31,2.5,2.5,2.5,2.5
2018-09-28,2.3,2.3,2.3,2.3
2018-10-31,2.2,2.2,2.2,2.2
2018-11-30,2,2,2,2
2018-12-31,2,2,2,2
2019-01-31,2.5,2.5,2.5,2.5
2019-02-28,2.7,2.7,2.7,2.7
2019-03-29,3,3,3,3
2019-04-30,2.8,2.8,2.8,2.8
2019-05-31,2.9,2.9,2.9,2.9
2019-06-28,2.7,2.7,2.7,2.7
2019-07-31,2.9,2.9,2.9,2.9
2019-08-30,2.9,2.9,2.9,2.9
2019-09-30,2.7,2.7,2.7,2.7
2019-10-31,2.7,2.7,2.7,2.7
2019-11-29,3.1,3.1,3.1,3.1
2019-12-31,3.2,3.2,3.2,3.2
2020-01-31,3.6,3.6,3.6,3.6
2020-02-28,3.7,3.7,3.7,3.7
2020-03-31,3.4,3.4,3.4,3.4
2020-04-30,3.2,3.2,3.2,3.2
2020-05-29,2.9,2.9,2.9,2.9
2020-06-30,3.3,3.3,3.3,3.3
2020-07-31,3.4,3.4,3.4,3.4
2020-08-31,3.3,3.3,3.3,3.3
2020-09-30,3.2,3.2,3.2,3.2
2020-10-30,2.9,2.9,2.9,2.9
2020-11-30,2.7,2.7,2.7,2.7
2020-12-31,2.3,2.3,2.3,2.3
2021-01-29,2.2,2.2,2.2,2.2
2021-02-26,2.1,2.1,2.1,2.1
2021-03-31,2.3,2.3,2.3,2.3
2021-04-30,3.1,3.1,3.1,3.1
2021-05-31,2.9,2.9,2.9,2.9
2021-06-30,2.8,2.8,2.8,2.8
2021-07-30,3.4,3.4,3.4,3.4
2021-08-31,4.1,4.1,4.1,4.1
2021-09-30,4.9,4.9,4.9,4.9
2021-10-29,5.8,5.8,5.8,5.8
2021-11-30,6,6,6,6
2021-12-31,5.8,5.8,5.8,5.8
2022-01-31,9.9,9.9,9.9,9.9
2022-02-28,11.1,11.1,11.1,11.1
2022-03-31,12.7,12.7,12.7,12.7
2022-04-29,14.2,14.2,14.2,14.2
2022-05-31,16,16,16,16
2022-06-30,17.2,17.2,17.2,17.2
2022-07-29,17.5,17.5,17.5,17.5
2022-08-31,17.2,17.2,17.2,17.2
2022-09-30,18,18,18,18
2022-10-31,15.1,15.1,15.1,15.1
2022-11-30,16.2,16.2,16.2,16.2
2022-12-30,15.8,15.8,15.8,15.8
2023-01-31,17.5,17.5,17.5,17.5
2023-02-28,16.7,16.7,16.7,16.7
2023-03-31,15,15,15,15
2023-04-28,12.7,12.7,12.7,12.7
2023-05-31,11.1,11.1,11.1,11.1
2023-06-30,9.7,9.7,9.7,9.7
2023-07-31,8.8,8.8,8.8,8.8
2023-08-31,8.5,8.5,8.5,8.5
