Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-02-28,1.1,1.1,1.1,1.1
2018-03-30,1.2,1.2,1.2,1.2
2018-04-30,1.1,1.1,1.1,1.1
2018-05-31,2.3,2.3,2.3,2.3
2018-06-29,2.2,2.2,2.2,2.2
2018-07-31,2.2,2.2,2.2,2.2
2018-08-31,2.2,2.2,2.2,2.2
2018-09-28,2.3,2.3,2.3,2.3
2018-10-31,1.7,1.7,1.7,1.7
2018-11-30,1.2,1.2,1.2,1.2
2018-12-31,1.2,1.2,1.2,1.2
2019-01-31,1,1,1,1
2019-02-28,1.1,1.1,1.1,1.1
2019-03-29,1.3,1.3,1.3,1.3
2019-04-30,0.8,0.8,0.8,0.8
2019-05-31,0.8,0.8,0.8,0.8
2019-06-28,0.4,0.4,0.4,0.4
2019-07-31,0.5,0.5,0.5,0.5
2019-08-30,-0.1,-0.1,-0.1,-0.1
2019-09-30,0.1,0.1,0.1,0.1
2019-10-31,0.1,0.1,0.1,0.1
2019-11-29,0.4,0.4,0.4,0.4
2019-12-31,0.8,0.8,0.8,0.8
2020-01-31,0.8,0.8,0.8,0.8
2020-02-28,0.7,0.7,0.7,0.7
2020-03-31,0,0,0,0
2020-04-30,-0.7,-0.7,-0.7,-0.7
2020-05-29,-0.3,-0.3,-0.3,-0.3
2020-06-30,-0.3,-0.3,-0.3,-0.3
2020-07-31,-0.5,-0.5,-0.5,-0.5
2020-08-31,-0.5,-0.5,-0.5,-0.5
2020-09-30,-0.4,-0.4,-0.4,-0.4
2020-10-30,-0.8,-0.8,-0.8,-0.8
2020-11-30,-0.8,-0.8,-0.8,-0.8
2020-12-31,-0.5,-0.5,-0.5,-0.5
2021-01-29,0,0,0,0
2021-02-26,1.3,1.3,1.3,1.3
2021-03-31,2.2,2.2,2.2,2.2
2021-04-30,2.7,2.7,2.7,2.7
2021-05-31,2.9,2.9,2.9,2.9
2021-06-30,2.9,2.9,2.9,2.9
2021-07-30,3.3,3.3,3.3,3.3
2021-09-30,4,4,4,4
2021-10-29,5.4,5.4,5.4,5.4
2021-11-30,5.5,5.5,5.5,5.5
2021-12-31,6.5,6.5,6.5,6.5
2022-01-31,7.4,7.4,7.4,7.4
2022-02-28,8.5,8.5,8.5,8.5
2022-03-31,8.3,8.3,8.3,8.3
2022-04-29,8.7,8.7,8.7,8.7
2022-05-31,8.7,8.7,8.7,8.7
2022-06-30,10.2,10.2,10.2,10.2
2022-07-29,10.8,10.8,10.8,10.8
2022-08-31,10.5,10.5,10.5,10.5
2022-09-30,8.9,8.9,8.9,8.9
2022-10-31,7.3,7.3,7.3,7.3
2022-11-30,6.8,6.8,6.8,6.8
2022-12-30,5.7,5.7,5.7,5.7
2023-01-31,5.9,5.9,5.9,5.9
2023-02-28,6,6,6,6
2023-03-31,3.3,3.3,3.3,3.3
2023-04-28,4.1,4.1,4.1,4.1
2023-05-31,3.2,3.2,3.2,3.2
2023-06-30,1.9,1.9,1.9,1.9
2023-07-31,2.3,2.3,2.3,2.3
2023-08-31,2.6,2.6,2.6,2.6
2023-09-29,3.5,3.5,3.5,3.5
