Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-05-31,0.6,0.6,0.6,0.6
2018-06-29,1,1,1,1
2018-07-31,0.9,0.9,0.9,0.9
2018-08-31,1,1,1,1
2018-09-28,1.1,1.1,1.1,1.1
2018-10-31,1.8,1.8,1.8,1.8
2018-11-30,1,1,1,1
2018-12-31,0.6,0.6,0.6,0.6
2019-01-31,0.4,0.4,0.4,0.4
2019-02-28,0.6,0.6,0.6,0.6
2019-03-29,0.9,0.9,0.9,0.9
2019-04-30,1,1,1,1
2019-05-31,0.2,0.2,0.2,0.2
2019-06-28,0,0,0,0
2019-08-30,-0.2,-0.2,-0.2,-0.2
2019-09-30,-0.1,-0.1,-0.1,-0.1
2019-10-31,-0.7,-0.7,-0.7,-0.7
2019-11-29,0.2,0.2,0.2,0.2
2019-12-31,0.8,0.8,0.8,0.8
2020-01-31,0.9,0.9,0.9,0.9
2020-02-28,0,0,0,0
2020-04-30,-1.4,-1.4,-1.4,-1.4
2020-05-29,-1.1,-1.1,-1.1,-1.1
2020-06-30,-1.6,-1.6,-1.6,-1.6
2020-07-31,-1.8,-1.8,-1.8,-1.8
2020-08-31,-1.9,-1.9,-1.9,-1.9
2020-09-30,-2,-2,-2,-2
2020-10-30,-1.8,-1.8,-1.8,-1.8
2020-11-30,-0.8,-0.8,-0.8,-0.8
2020-12-31,-2.3,-2.3,-2.3,-2.3
2021-01-29,-2,-2,-2,-2
2021-02-26,-1.3,-1.3,-1.3,-1.3
2021-03-31,-1.6,-1.6,-1.6,-1.6
2021-04-30,-0.3,-0.3,-0.3,-0.3
2021-05-31,0.1,0.1,0.1,0.1
2021-06-30,1,1,1,1
2021-07-30,1.4,1.4,1.4,1.4
2021-08-31,1.2,1.2,1.2,1.2
2021-09-30,2.2,2.2,2.2,2.2
2021-10-29,3.4,3.4,3.4,3.4
2021-11-30,4.8,4.8,4.8,4.8
2021-12-31,5.1,5.1,5.1,5.1
2022-01-31,6.2,6.2,6.2,6.2
2022-02-28,7.2,7.2,7.2,7.2
2022-03-31,8.9,8.9,8.9,8.9
2022-04-29,9.1,9.1,9.1,9.1
2022-05-31,11.3,11.3,11.3,11.3
2022-06-30,12.1,12.1,12.1,12.1
2022-07-29,11.4,11.4,11.4,11.4
2022-08-31,12,12,12,12
2022-09-30,9.1,9.1,9.1,9.1
2022-10-31,8.5,8.5,8.5,8.5
2022-11-30,7.2,7.2,7.2,7.2
2022-12-30,7,7,7,7
2023-01-31,6.1,6.1,6.1,6.1
2023-02-28,4.6,4.6,4.6,4.6
2023-03-31,3,3,3,3
2023-05-31,2.8,2.8,2.8,2.8
2023-06-30,1.8,1.8,1.8,1.8
2023-07-31,2.5,2.5,2.5,2.5
2023-08-31,2.7,2.7,2.7,2.7
