Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-02-28,1.9,1.9,1.9,1.9
2018-03-30,2,2,2,2
2018-04-30,2.3,2.3,2.3,2.3
2018-05-31,2.8,2.8,2.8,2.8
2018-06-29,3.1,3.1,3.1,3.1
2018-07-31,3.4,3.4,3.4,3.4
2018-08-31,3.4,3.4,3.4,3.4
2018-09-28,3.6,3.6,3.6,3.6
2018-10-31,3.8,3.8,3.8,3.8
2018-12-11,3.1,3.1,3.1,3.1
2018-12-31,2.7,2.7,2.7,2.7
2019-01-31,2.7,2.7,2.7,2.7
2019-02-28,3.1,3.1,3.1,3.1
2019-03-29,3.7,3.7,3.7,3.7
2019-04-30,3.9,3.9,3.9,3.9
2019-05-31,3.9,3.9,3.9,3.9
2019-06-28,3.4,3.4,3.4,3.4
2019-07-31,3.3,3.3,3.3,3.3
2019-08-30,3.1,3.1,3.1,3.1
2019-09-30,2.8,2.8,2.8,2.8
2019-10-31,2.9,2.9,2.9,2.9
2019-11-29,3.4,3.4,3.4,3.4
2019-12-31,4,4,4,4
2020-01-31,4.7,4.7,4.7,4.7
2020-02-28,4.4,4.4,4.4,4.4
2020-03-31,3.9,3.9,3.9,3.9
2020-04-30,2.4,2.4,2.4,2.4
2020-05-29,2.2,2.2,2.2,2.2
2020-06-30,2.9,2.9,2.9,2.9
2020-07-31,3.8,3.8,3.8,3.8
2020-08-31,3.9,3.9,3.9,3.9
2020-09-30,3.4,3.4,3.4,3.4
2020-10-30,3,3,3,3
2020-11-30,2.7,2.7,2.7,2.7
2020-12-31,2.7,2.7,2.7,2.7
2021-01-29,2.7,2.7,2.7,2.7
2021-02-26,3.1,3.1,3.1,3.1
2021-03-31,3.7,3.7,3.7,3.7
2021-04-30,5.1,5.1,5.1,5.1
2021-05-31,5.1,5.1,5.1,5.1
2021-06-30,5.3,5.3,5.3,5.3
2021-07-30,4.6,4.6,4.6,4.6
2021-08-31,4.9,4.9,4.9,4.9
2021-09-30,5.5,5.5,5.5,5.5
2021-10-29,6.5,6.5,6.5,6.5
2021-11-30,7.4,7.4,7.4,7.4
2021-12-31,7.4,7.4,7.4,7.4
2022-01-31,7.9,7.9,7.9,7.9
2022-02-28,8.3,8.3,8.3,8.3
2022-03-31,8.5,8.5,8.5,8.5
2022-04-29,9.5,9.5,9.5,9.5
2022-05-31,10.7,10.7,10.7,10.7
2022-06-30,11.7,11.7,11.7,11.7
2022-07-29,13.7,13.7,13.7,13.7
2022-08-31,15.6,15.6,15.6,15.6
2022-09-30,20.1,20.1,20.1,20.1
2022-10-31,21.1,21.1,21.1,21.1
2022-11-30,22.5,22.5,22.5,22.5
2022-12-30,24.5,24.5,24.5,24.5
2023-01-31,25.7,25.7,25.7,25.7
2023-02-28,25.4,25.4,25.4,25.4
2023-03-31,25.2,25.2,25.2,25.2
2023-04-28,24,24,24,24
2023-05-31,21.5,21.5,21.5,21.5
2023-06-30,20.1,20.1,20.1,20.1
2023-07-31,17.6,17.6,17.6,17.6
2023-08-31,16.4,16.4,16.4,16.4
