Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-02-28,5.34,5.34,5.34,5.34
2018-03-30,5.04,5.04,5.04,5.04
2018-04-30,4.55,4.55,4.55,4.55
2018-05-31,4.51,4.51,4.51,4.51
2018-06-29,4.65,4.65,4.65,4.65
2018-07-31,4.81,4.81,4.81,4.81
2018-08-31,4.9,4.9,4.9,4.9
2018-09-28,4.81,4.81,4.81,4.81
2018-10-31,4.9,4.9,4.9,4.9
2018-11-30,4.7,4.7,4.7,4.7
2018-12-31,4.83,4.83,4.83,4.83
2019-01-31,4.37,4.37,4.37,4.37
2019-02-28,3.94,3.94,3.94,3.94
2019-03-29,4,4,4,4
2019-04-30,4.41,4.41,4.41,4.41
2019-05-31,4.28,4.28,4.28,4.28
2019-06-28,3.95,3.95,3.95,3.95
2019-07-31,3.78,3.78,3.78,3.78
2019-08-30,3.16,3.16,3.16,3.16
2019-09-30,3,3,3,3
2019-10-31,3.02,3.02,3.02,3.02
2019-11-29,2.97,2.97,2.97,2.97
2019-12-31,2.83,2.83,2.83,2.83
2020-01-31,3.7,3.7,3.7,3.7
2020-03-31,3.25,3.25,3.25,3.25
2020-04-30,2.15,2.15,2.15,2.15
2020-05-29,2.84,2.84,2.84,2.84
2020-06-30,3.62,3.62,3.62,3.62
2020-08-31,4.05,4.05,4.05,4.05
2020-09-30,4.01,4.01,4.01,4.01
2020-10-30,4.09,4.09,4.09,4.09
2020-11-30,3.33,3.33,3.33,3.33
2020-12-31,3.15,3.15,3.15,3.15
2021-01-29,3.54,3.54,3.54,3.54
2021-02-26,3.76,3.76,3.76,3.76
2021-03-31,4.67,4.67,4.67,4.67
2021-04-30,6.1,6.1,6.1,6.1
2021-05-31,5.9,5.9,5.9,5.9
2021-06-30,5.9,5.9,5.9,5.9
2021-07-30,5.8,5.8,5.8,5.8
2021-08-31,5.6,5.6,5.6,5.6
2021-09-30,6,6,6,6
2021-10-29,6.2,6.2,6.2,6.2
2021-11-30,7.4,7.4,7.4,7.4
2021-12-31,7.3,7.3,7.3,7.3
2022-01-31,7.1,7.1,7.1,7.1
2022-02-28,7.3,7.3,7.3,7.3
2022-03-31,7.5,7.5,7.5,7.5
2022-04-29,7.7,7.7,7.7,7.7
2022-05-31,7.65,7.65,7.65,7.65
2022-06-30,7.99,7.99,7.99,7.99
2022-07-29,8.15,8.15,8.15,8.15
2022-08-31,8.7,8.7,8.7,8.7
2022-09-30,8.7,8.7,8.7,8.7
2022-10-31,8.4,8.4,8.4,8.4
2022-11-30,7.8,7.8,7.8,7.8
2022-12-30,7.82,7.82,7.82,7.82
2023-01-31,7.91,7.91,7.91,7.91
2023-02-28,7.62,7.62,7.62,7.62
2023-03-31,6.85,6.85,6.85,6.85
2023-04-28,6.25,6.25,6.25,6.25
2023-05-31,5.84,5.84,5.84,5.84
2023-06-30,5.06,5.06,5.06,5.06
2023-07-31,4.79,4.79,4.79,4.79
