Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-11-30,2.8,2.8,2.8,2.8
2015-12-31,2.3,2.3,2.3,2.3
2016-01-29,3,3,3,3
2016-02-29,3.1,3.1,3.1,3.1
2016-03-31,3.3,3.3,3.3,3.3
2016-04-29,3.2,3.2,3.2,3.2
2016-05-31,3.4,3.4,3.4,3.4
2016-06-30,3.7,3.7,3.7,3.7
2016-07-29,4.4,4.4,4.4,4.4
2016-08-31,4,4,4,4
2016-09-30,3.6,3.6,3.6,3.6
2016-10-31,3.7,3.7,3.7,3.7
2016-11-30,3.5,3.5,3.5,3.5
2016-12-30,3.5,3.5,3.5,3.5
2017-01-31,2.8,2.8,2.8,2.8
2017-02-28,2.5,2.5,2.5,2.5
2017-03-31,2.4,2.4,2.4,2.4
2017-04-28,2.2,2.2,2.2,2.2
2017-05-31,1.9,1.9,1.9,1.9
2017-07-31,1.5,1.5,1.5,1.5
2017-08-31,1.3,1.3,1.3,1.3
2017-09-29,1.6,1.6,1.6,1.6
2017-10-31,1.2,1.2,1.2,1.2
2017-11-30,1.1,1.1,1.1,1.1
2017-12-29,1.6,1.6,1.6,1.6
2018-01-31,1.6,1.6,1.6,1.6
2018-02-28,2.2,2.2,2.2,2.2
2018-03-30,2.2,2.2,2.2,2.2
2018-04-30,2.4,2.4,2.4,2.4
2018-05-31,2.3,2.3,2.3,2.3
2018-06-29,2.6,2.6,2.6,2.6
2018-07-31,3,3,3,3
2018-08-31,3.4,3.4,3.4,3.4
2018-09-28,3.4,3.4,3.4,3.4
2018-10-31,3.1,3.1,3.1,3.1
2018-11-30,3.5,3.5,3.5,3.5
2018-12-31,3.5,3.5,3.5,3.5
2019-01-31,3.1,3.1,3.1,3.1
2019-02-28,5.2,5.2,5.2,5.2
2019-04-30,2.9,2.9,2.9,2.9
2019-05-31,2.5,2.5,2.5,2.5
2019-06-28,1.9,1.9,1.9,1.9
2019-07-31,1.9,1.9,1.9,1.9
2019-08-30,1.6,1.6,1.6,1.6
2019-09-30,1.5,1.5,1.5,1.5
2019-10-31,1.8,1.8,1.8,1.8
2019-11-29,1.6,1.6,1.6,1.6
2019-12-31,1.4,1.4,1.4,1.4
2020-01-31,1.8,1.8,1.8,1.8
2020-02-28,0.9,0.9,0.9,0.9
2020-03-31,0.7,0.7,0.7,0.7
2020-04-30,0.8,0.8,0.8,0.8
2020-05-29,1.3,1.3,1.3,1.3
2020-06-30,1.4,1.4,1.4,1.4
2020-07-31,1.3,1.3,1.3,1.3
2020-08-31,1.7,1.7,1.7,1.7
2020-09-30,0,0,0,0
2020-11-30,0.7,0.7,0.7,0.7
2020-12-31,1.4,1.4,1.4,1.4
2021-01-29,2.5,2.5,2.5,2.5
2021-02-26,3.3,3.3,3.3,3.3
2021-03-31,3.1,3.1,3.1,3.1
2021-04-30,3,3,3,3
2021-05-31,2.7,2.7,2.7,2.7
2021-06-30,2.9,2.9,2.9,2.9
2021-07-30,3,3,3,3
2021-08-31,3.4,3.4,3.4,3.4
2021-09-30,4.1,4.1,4.1,4.1
2021-10-29,3.5,3.5,3.5,3.5
2021-11-30,5.1,5.1,5.1,5.1
2021-12-31,5.3,5.3,5.3,5.3
2022-01-31,3.2,3.2,3.2,3.2
2022-02-28,3.7,3.7,3.7,3.7
2022-03-31,4.5,4.5,4.5,4.5
2022-04-29,5.4,5.4,5.4,5.4
2022-05-31,5.7,5.7,5.7,5.7
2022-06-30,6.3,6.3,6.3,6.3
2022-07-29,6.8,6.8,6.8,6.8
2022-08-31,6.5,6.5,6.5,6.5
2022-09-30,6.9,6.9,6.9,6.9
2022-10-31,7.5,7.5,7.5,7.5
2022-11-30,6.5,6.5,6.5,6.5
2022-12-30,5.9,5.9,5.9,5.9
2023-01-31,7,7,7,7
2023-02-28,6.3,6.3,6.3,6.3
2023-03-31,6.5,6.5,6.5,6.5
2023-04-28,6.4,6.4,6.4,6.4
2023-05-31,6.7,6.7,6.7,6.7
2023-06-30,6.4,6.4,6.4,6.4
2023-07-31,5.4,5.4,5.4,5.4
2023-08-31,4.8,4.8,4.8,4.8
