Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-03-30,1.1,1.1,1.1,1.1
2018-06-29,1.5,1.5,1.5,1.5
2018-09-28,1.9,1.9,1.9,1.9
2018-12-31,1.9,1.9,1.9,1.9
2019-03-29,1.5,1.5,1.5,1.5
2019-06-28,1.7,1.7,1.7,1.7
2019-09-30,1.9,1.9,1.9,1.9
2020-03-31,2.5,2.5,2.5,2.5
2020-06-30,1.5,1.5,1.5,1.5
2020-09-30,1.4,1.4,1.4,1.4
2020-12-31,1.4,1.4,1.4,1.4
2021-03-31,0.8,0.8,0.8,0.8
2021-06-30,3.3,3.3,3.3,3.3
2021-09-30,4.9,4.9,4.9,4.9
2021-12-31,5.9,5.9,5.9,5.9
2022-03-31,6.9,6.9,6.9,6.9
2022-06-30,7.3,7.3,7.3,7.3
2022-09-30,7.2,7.2,7.2,7.2
2022-12-30,7.2,7.2,7.2,7.2
2023-03-31,6.7,6.7,6.7,6.7
2023-06-30,6,6,6,6
