Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-03-30,4.3,4.3,4.3,4.3
2018-04-30,4.5,4.5,4.5,4.5
2018-05-31,4.6,4.6,4.6,4.6
2018-06-29,5.2,5.2,5.2,5.2
2018-07-31,5.7,5.7,5.7,5.7
2018-08-31,6.4,6.4,6.4,6.4
2018-09-28,6.7,6.7,6.7,6.7
2018-10-31,6.7,6.7,6.7,6.7
2018-11-30,6,6,6,6
2018-12-31,4.4,4.4,4.4,4.4
2019-02-28,3.8,3.8,3.8,3.8
2019-03-29,3.5,3.5,3.5,3.5
2019-04-30,3,3,3,3
2019-05-31,3.2,3.2,3.2,3.2
2019-06-28,2.7,2.7,2.7,2.7
2019-07-31,2.4,2.4,2.4,2.4
2019-08-30,1.7,1.7,1.7,1.7
2019-09-30,0.9,0.9,0.9,0.9
2019-10-31,0.8,0.8,0.8,0.8
2019-11-29,1.3,1.3,1.3,1.3
2019-12-31,2.5,2.5,2.5,2.5
2020-01-31,3.6,3.6,3.6,3.6
2020-03-31,2.5,2.5,2.5,2.5
2020-04-30,2.2,2.2,2.2,2.2
2020-05-29,2.1,2.1,2.1,2.1
2020-06-30,2.5,2.5,2.5,2.5
2020-07-31,2.7,2.7,2.7,2.7
2020-08-31,2.4,2.4,2.4,2.4
2020-09-30,2.3,2.3,2.3,2.3
2020-10-30,2.5,2.5,2.5,2.5
2020-11-30,3.5,3.5,3.5,3.5
2021-01-29,4.2,4.2,4.2,4.2
2021-02-26,4.5,4.5,4.5,4.5
2021-04-30,4.5,4.5,4.5,4.5
2021-05-31,4.5,4.5,4.5,4.5
2021-06-30,4.1,4.1,4.1,4.1
2021-07-30,4,4,4,4
2021-08-31,4.9,4.9,4.9,4.9
2021-09-30,4.6,4.6,4.6,4.6
2021-11-30,4.2,4.2,4.2,4.2
2021-12-31,3.6,3.6,3.6,3.6
2022-01-31,3,3,3,3
2022-02-28,3,3,3,3
2022-03-31,4,4,4,4
2022-04-29,4.9,4.9,4.9,4.9
2022-05-31,5.4,5.4,5.4,5.4
2022-06-30,6.1,6.1,6.1,6.1
2022-07-29,6.4,6.4,6.4,6.4
2022-08-31,6.3,6.3,6.3,6.3
2022-09-30,6.9,6.9,6.9,6.9
2022-10-31,7.7,7.7,7.7,7.7
2022-11-30,8,8,8,8
2022-12-30,8.1,8.1,8.1,8.1
2023-01-31,8.6,8.6,8.6,8.6
2023-02-28,8.6,8.6,8.6,8.6
2023-03-31,7.6,7.6,7.6,7.6
2023-04-21,7.6,7.6,7.6,7.6
2023-04-28,6.6,6.6,6.6,6.6
2023-05-31,6.1,6.1,6.1,6.1
2023-06-30,5.4,5.4,5.4,5.4
2023-07-31,4.7,4.7,4.7,4.7
2023-08-31,5.3,5.3,5.3,5.3
