Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-02-28,4.7,4.7,4.7,4.7
2018-03-30,4.01,4.01,4.01,4.01
2018-04-30,5.2,5.2,5.2,5.2
2018-05-31,5.4,5.4,5.4,5.4
2018-06-29,5.4,5.4,5.4,5.4
2018-07-31,4.6,4.6,4.6,4.6
2018-08-31,5.1,5.1,5.1,5.1
2018-09-28,5,5,5,5
2018-10-31,4.3,4.3,4.3,4.3
2018-11-30,3.4,3.4,3.4,3.4
2018-12-31,3.3,3.3,3.3,3.3
2019-01-31,3.3,3.3,3.3,3.3
2019-02-28,3.8,3.8,3.8,3.8
2019-03-29,4,4,4,4
2019-04-30,4.1,4.1,4.1,4.1
2019-05-31,4.1,4.1,4.1,4.1
2019-06-28,3.8,3.8,3.8,3.8
2019-07-31,4.1,4.1,4.1,4.1
2019-08-30,3.9,3.9,3.9,3.9
2019-09-30,3.5,3.5,3.5,3.5
2019-10-31,3.4,3.4,3.4,3.4
2019-11-29,3.8,3.8,3.8,3.8
2019-12-31,4,4,4,4
2020-01-31,3.8,3.8,3.8,3.8
2020-02-28,3.1,3.1,3.1,3.1
2020-03-31,3,3,3,3
2020-04-30,2.7,2.7,2.7,2.7
2020-05-29,2.3,2.3,2.3,2.3
2020-06-30,2.6,2.6,2.6,2.6
2020-07-31,2.8,2.8,2.8,2.8
2020-08-31,2.7,2.7,2.7,2.7
2020-09-30,2.5,2.5,2.5,2.5
2020-10-30,2.2,2.2,2.2,2.2
2020-11-30,2.1,2.1,2.1,2.1
2020-12-31,2.99,2.99,2.99,2.99
2021-01-29,3.16,3.16,3.16,3.16
2021-02-26,3.05,3.05,3.05,3.05
2021-03-31,3.24,3.24,3.24,3.24
2021-04-30,3.8,3.8,3.8,3.8
2021-05-31,3.9,3.9,3.9,3.9
2021-06-30,5,5,5,5
2021-07-30,5.3,5.3,5.3,5.3
2021-09-30,5.6,5.6,5.6,5.6
2021-10-29,7.9,7.9,7.9,7.9
2021-11-30,7.8,7.8,7.8,7.8
2021-12-31,8.2,8.2,8.2,8.2
2022-01-31,8.4,8.4,8.4,8.4
2022-02-28,8.5,8.5,8.5,8.5
2022-03-31,10.2,10.2,10.2,10.2
2022-04-29,13.8,13.8,13.8,13.8
2022-05-31,14.5,14.5,14.5,14.5
2022-06-30,15.1,15.1,15.1,15.1
2022-07-29,15,15,15,15
2022-08-31,15.9,15.9,15.9,15.9
2022-09-30,15.9,15.9,15.9,15.9
2022-10-31,15.3,15.3,15.3,15.3
2022-11-30,16.76,16.76,16.76,16.76
2022-12-30,16.37,16.37,16.37,16.37
2023-01-31,15.07,15.07,15.07,15.07
2023-02-28,15.52,15.52,15.52,15.52
2023-03-31,14.53,14.53,14.53,14.53
2023-04-28,11.23,11.23,11.23,11.23
2023-05-31,10.64,10.64,10.64,10.64
2023-06-30,10.25,10.25,10.25,10.25
2023-07-31,9.44,9.44,9.44,9.44
2023-08-31,9.43,9.43,9.43,9.43
