Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-02-28,2.1,2.1,2.1,2.1
2018-03-30,2.4,2.4,2.4,2.4
2018-04-30,2.9,2.9,2.9,2.9
2018-05-31,2.6,2.6,2.6,2.6
2018-06-29,2.8,2.8,2.8,2.8
2018-07-31,2.6,2.6,2.6,2.6
2018-08-31,2.8,2.8,2.8,2.8
2018-09-28,2.7,2.7,2.7,2.7
2018-10-31,2.5,2.5,2.5,2.5
2018-11-30,2.1,2.1,2.1,2.1
2018-12-31,1.9,1.9,1.9,1.9
2019-01-31,2.5,2.5,2.5,2.5
2019-02-28,2.3,2.3,2.3,2.3
2019-03-29,2.7,2.7,2.7,2.7
2019-04-30,2.3,2.3,2.3,2.3
2019-05-31,2.7,2.7,2.7,2.7
2019-06-28,2.6,2.6,2.6,2.6
2019-07-31,2.9,2.9,2.9,2.9
2019-08-30,2.8,2.8,2.8,2.8
2019-09-30,2.9,2.9,2.9,2.9
2019-10-31,3,3,3,3
2019-12-31,3,3,3,3
2020-01-31,3,3,3,3
2020-02-28,3,3,3,3
2020-03-31,2.3,2.3,2.3,2.3
2020-04-30,2.1,2.1,2.1,2.1
2020-05-29,2,2,2,2
2020-06-30,1.8,1.8,1.8,1.8
2020-07-31,1.7,1.7,1.7,1.7
2020-08-31,1.4,1.4,1.4,1.4
2020-09-30,1.4,1.4,1.4,1.4
2020-10-30,1.6,1.6,1.6,1.6
2020-11-30,1.5,1.5,1.5,1.5
2020-12-31,1.6,1.6,1.6,1.6
2021-01-29,0.7,0.7,0.7,0.7
2021-02-26,0.9,0.9,0.9,0.9
2021-03-31,1.4,1.4,1.4,1.4
2021-04-30,1.6,1.6,1.6,1.6
2021-05-31,2.2,2.2,2.2,2.2
2021-06-30,2.9,2.9,2.9,2.9
2021-07-30,3.3,3.3,3.3,3.3
2021-08-31,3.8,3.8,3.8,3.8
2021-09-30,4.6,4.6,4.6,4.6
2021-10-29,5.1,5.1,5.1,5.1
2021-11-30,5.6,5.6,5.6,5.6
2021-12-31,5.8,5.8,5.8,5.8
2022-01-31,8.4,8.4,8.4,8.4
2022-02-28,9,9,9,9
2022-03-31,10.4,10.4,10.4,10.4
2022-04-29,11.8,11.8,11.8,11.8
2022-05-31,12.6,12.6,12.6,12.6
2022-06-30,13.2,13.2,13.2,13.2
2022-07-29,13.6,13.6,13.6,13.6
2022-08-31,14,14,14,14
2022-09-30,14.2,14.2,14.2,14.2
2022-10-31,14.9,14.9,14.9,14.9
2022-11-30,15.4,15.4,15.4,15.4
2022-12-30,15.4,15.4,15.4,15.4
2023-01-31,15.2,15.2,15.2,15.2
2023-02-28,15.4,15.4,15.4,15.4
2023-03-31,14.8,14.8,14.8,14.8
2023-04-28,13.8,13.8,13.8,13.8
2023-05-31,11.9,11.9,11.9,11.9
2023-06-30,10.8,10.8,10.8,10.8
2023-07-31,9.7,9.7,9.7,9.7
2023-08-31,8.9,8.9,8.9,8.9
