Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2001-01-31,35.92,35.92,35.92,35.92
2001-02-28,33.42,33.42,33.42,33.42
2001-03-30,37.51,37.51,37.51,37.51
2001-04-30,48.27,48.27,48.27,48.27
2001-05-31,52.39,52.39,52.39,52.39
2001-06-29,56.1,56.1,56.1,56.1
2001-07-31,56.33,56.33,56.33,56.33
2001-08-31,57.5,57.5,57.5,57.5
2001-09-28,61.8,61.8,61.8,61.8
2001-10-31,66.47,66.47,66.47,66.47
2001-11-30,67.29,67.29,67.29,67.29
2001-12-31,68.53,68.53,68.53,68.53
2002-01-31,73.16,73.16,73.16,73.16
2002-02-28,73.08,73.08,73.08,73.08
2002-03-29,65.11,65.11,65.11,65.11
2002-04-30,52.72,52.72,52.72,52.72
2002-05-31,46.22,46.22,46.22,46.22
2002-06-28,42.6,42.6,42.6,42.6
2002-07-31,41.28,41.28,41.28,41.28
2002-08-30,40.24,40.24,40.24,40.24
2002-09-30,37.05,37.05,37.05,37.05
2002-10-31,33.45,33.45,33.45,33.45
2002-11-29,31.77,31.77,31.77,31.77
2002-12-31,29.75,29.75,29.75,29.75
2003-01-31,26.38,26.38,26.38,26.38
2003-02-28,27.01,27.01,27.01,27.01
2003-03-31,29.41,29.41,29.41,29.41
2003-04-30,29.45,29.45,29.45,29.45
2003-05-30,30.74,30.74,30.74,30.74
2003-06-30,29.76,29.76,29.76,29.76
2003-07-31,27.44,27.44,27.44,27.44
2003-08-29,24.91,24.91,24.91,24.91
2003-09-30,23,23,23,23
2003-10-31,20.78,20.78,20.78,20.78
2003-11-28,19.25,19.25,19.25,19.25
2003-12-31,18.36,18.36,18.36,18.36
2004-01-30,16.22,16.22,16.22,16.22
2004-02-27,14.28,14.28,14.28,14.28
2004-03-31,11.83,11.83,11.83,11.83
2004-04-30,10.18,10.18,10.18,10.18
2004-05-31,8.88,8.88,8.88,8.88
2004-06-30,8.93,8.93,8.93,8.93
